"FID","TILE","NM_MACRORH","GEOMETRY","ORDEMFINAL"
"71","077080","AMAZÔNICA","POLYGON ((-64.187103 4.244827, -64.187103 4.602489, -63.683552 4.602489, -63.683552 4.244827, -64.187103 4.244827))",109
"72","077081","AMAZÔNICA","POLYGON ((-64.222405 3.230296, -64.222405 3.586365, -63.717074 3.586365, -63.717074 3.230296, -64.222405 3.230296))",110
"73","077082","AMAZÔNICA","POLYGON ((-64.257953 2.220259, -64.257953 2.574849, -63.750829 2.574849, -63.750829 2.220259, -64.257953 2.220259))",111
"74","077083","AMAZÔNICA","POLYGON ((-64.293749 1.2144, -64.293749 1.567621, -63.784819 1.567621, -63.784819 1.2144, -64.293749 1.2144))",112
"75","077084","AMAZÔNICA","POLYGON ((-64.329796 0.212411, -64.329796 0.56437, -63.819046 0.56437, -63.819046 0.212411, -64.329796 0.212411))",113
"76","077085","AMAZÔNICA","POLYGON ((-64.366096 -0.786008, -64.366096 -0.435206, -63.853514 -0.435206, -63.853514 -0.786008, -64.366096 -0.786008))",114
"77","077086","AMAZÔNICA","POLYGON ((-64.402652 -1.781153, -64.402652 -1.431405, -63.888225 -1.431405, -63.888225 -1.781153, -64.402652 -1.781153))",115
"78","077087","AMAZÔNICA","POLYGON ((-64.439466 -2.773312, -64.439466 -2.424517, -63.923181 -2.424517, -63.923181 -2.773312, -64.439466 -2.773312))",9
"79","077088","AMAZÔNICA","POLYGON ((-64.476542 -3.762769, -64.476542 -3.414827, -63.958385 -3.414827, -63.958385 -3.762769, -64.476542 -3.762769))",116
"80","077089","AMAZÔNICA","POLYGON ((-64.513882 -4.749803, -64.513882 -4.402617, -63.993839 -4.402617, -63.993839 -4.749803, -64.513882 -4.749803))",117
"81","077090","AMAZÔNICA","POLYGON ((-64.551489 -5.734693, -64.551489 -5.388164, -64.029547 -5.388164, -64.029547 -5.734693, -64.551489 -5.734693))",118
"82","077091","AMAZÔNICA","POLYGON ((-64.589365 -6.717712, -64.589365 -6.371745, -64.06551 -6.371745, -64.06551 -6.717712, -64.589365 -6.717712))",119
"83","077092","AMAZÔNICA","POLYGON ((-64.627515 -7.699133, -64.627515 -7.353631, -64.101733 -7.353631, -64.101733 -7.699133, -64.627515 -7.699133))",120
"84","077093","AMAZÔNICA","POLYGON ((-64.66594 -8.679227, -64.66594 -8.334094, -64.138216 -8.334094, -64.138216 -8.679227, -64.66594 -8.679227))",121
"85","077094","AMAZÔNICA","POLYGON ((-64.704644 -9.658266, -64.704644 -9.313407, -64.174965 -9.313407, -64.174965 -9.658266, -64.704644 -9.658266))",10
"86","077095","AMAZÔNICA","POLYGON ((-64.74363 -10.636522, -64.74363 -10.29184, -64.21198 -10.29184, -64.21198 -10.636522, -64.74363 -10.636522))",122
"87","077096","AMAZÔNICA","POLYGON ((-64.782901 -11.614267, -64.782901 -11.269665, -64.249266 -11.269665, -64.249266 -11.614267, -64.782901 -11.614267))",123
"88","077097","AMAZÔNICA","POLYGON ((-64.822459 -12.591776, -64.822459 -12.247158, -64.286825 -12.247158, -64.286825 -12.591776, -64.822459 -12.591776))",124
"89","078080","AMAZÔNICA","POLYGON ((-62.709718 4.195016, -62.709718 4.549912, -62.207693 4.549912, -62.207693 4.195016, -62.709718 4.195016))",125
"90","078081","AMAZÔNICA","POLYGON ((-62.739908 3.180541, -62.739908 3.533853, -62.236113 3.533853, -62.236113 3.180541, -62.739908 3.180541))",126
"91","078082","AMAZÔNICA","POLYGON ((-62.770309 2.170545, -62.770309 2.522386, -62.26473 2.522386, -62.26473 2.170545, -62.770309 2.170545))",127
"92","078083","AMAZÔNICA","POLYGON ((-62.800922 1.164712, -62.800922 1.515191, -62.293547 1.515191, -62.293547 1.164712, -62.800922 1.164712))",128
"93","078084","AMAZÔNICA","POLYGON ((-62.831749 0.162734, -62.831749 0.511957, -62.322565 0.511957, -62.322565 0.162734, -62.831749 0.162734))",129
"94","078085","AMAZÔNICA","POLYGON ((-62.862793 -0.83569, -62.862793 -0.487619, -62.351788 -0.487619, -62.351788 -0.83569, -62.862793 -0.83569))",130
"95","078086","AMAZÔNICA","POLYGON ((-62.894056 -1.830853, -62.894056 -1.483832, -62.381216 -1.483832, -62.381216 -1.830853, -62.894056 -1.830853))",131
"96","078087","AMAZÔNICA","POLYGON ((-62.92554 -2.823045, -62.92554 -2.476973, -62.410852 -2.476973, -62.410852 -2.823045, -62.92554 -2.823045))",132
"97","078088","AMAZÔNICA","POLYGON ((-62.957247 -3.812549, -62.957247 -3.467328, -62.440698 -3.467328, -62.440698 -3.812549, -62.957247 -3.812549))",133
"98","078089","AMAZÔNICA","POLYGON ((-62.989181 -4.799646, -62.989181 -4.455178, -62.470757 -4.455178, -62.470757 -4.799646, -62.989181 -4.799646))",8
"99","078090","AMAZÔNICA","POLYGON ((-63.021343 -5.784612, -63.021343 -5.440801, -62.501031 -5.440801, -62.501031 -5.784612, -63.021343 -5.784612))",134
"100","078091","AMAZÔNICA","POLYGON ((-63.053736 -6.767722, -63.053736 -6.424472, -62.531522 -6.424472, -62.531522 -6.767722, -63.053736 -6.767722))",135
"101","078092","AMAZÔNICA","POLYGON ((-63.086362 -7.749248, -63.086362 -7.406464, -62.562232 -7.406464, -62.562232 -7.749248, -63.086362 -7.749248))",136
"102","078093","AMAZÔNICA","POLYGON ((-63.119224 -8.729463, -63.119224 -8.387049, -62.593164 -8.387049, -62.593164 -8.729463, -63.119224 -8.729463))",137
"103","078094","AMAZÔNICA","POLYGON ((-63.152325 -9.708637, -63.152325 -9.366498, -62.62432 -9.366498, -62.62432 -9.708637, -63.152325 -9.708637))",138
"104","078095","AMAZÔNICA","POLYGON ((-63.185667 -10.687042, -63.185667 -10.345084, -62.655703 -10.345084, -62.655703 -10.687042, -63.185667 -10.687042))",139
"105","078096","AMAZÔNICA","POLYGON ((-63.219253 -11.664953, -63.219253 -11.323078, -62.687315 -11.323078, -62.687315 -11.664953, -63.219253 -11.664953))",140
"106","078097","AMAZÔNICA","POLYGON ((-63.253084 -12.642642, -63.253084 -12.300755, -62.719159 -12.300755, -62.719159 -12.642642, -63.253084 -12.642642))",141
"107","078098","AMAZÔNICA","POLYGON ((-63.287166 -13.620389, -63.287166 -13.278392, -62.751237 -13.278392, -62.751237 -13.620389, -63.287166 -13.620389))",142
"108","079079","AMAZÔNICA","POLYGON ((-61.206946 5.172651, -61.206946 5.526476, -60.708223 5.526476, -60.708223 5.172651, -61.206946 5.172651))",143
"109","079080","AMAZÔNICA","POLYGON ((-61.231847 4.153432, -61.231847 4.505566, -60.731376 4.505566, -60.731376 4.153432, -61.231847 4.153432))",144
"110","079081","AMAZÔNICA","POLYGON ((-61.25692 3.139003, -61.25692 3.489562, -60.754689 3.489562, -60.754689 3.139003, -61.25692 3.139003))",5
"111","079082","AMAZÔNICA","POLYGON ((-61.282168 2.129041, -61.282168 2.478135, -60.778165 2.478135, -60.778165 2.129041, -61.282168 2.129041))",145
"112","079083","AMAZÔNICA","POLYGON ((-61.307593 1.123229, -61.307593 1.470966, -60.801804 1.470966, -60.801804 1.123229, -61.307593 1.123229))",146
"113","079084","AMAZÔNICA","POLYGON ((-61.333195 0.121259, -61.333195 0.467746, -60.825608 0.467746, -60.825608 0.121259, -61.333195 0.121259))",6
"114","079085","AMAZÔNICA","POLYGON ((-61.358978 -0.877169, -61.358978 -0.531829, -60.849579 -0.531829, -60.849579 -0.877169, -61.358978 -0.877169))",147
"115","079086","AMAZÔNICA","POLYGON ((-61.384942 -1.872348, -61.384942 -1.528054, -60.87372 -1.528054, -60.87372 -1.872348, -61.384942 -1.872348))",148
"116","079087","AMAZÔNICA","POLYGON ((-61.41109 -2.864568, -61.41109 -2.521221, -60.898031 -2.521221, -60.898031 -2.864568, -61.41109 -2.864568))",149
"117","079088","AMAZÔNICA","POLYGON ((-61.437424 -3.854113, -61.437424 -3.511615, -60.922514 -3.511615, -60.922514 -3.854113, -61.437424 -3.854113))",150
"118","079089","AMAZÔNICA","POLYGON ((-61.463946 -4.841261, -61.463946 -4.499516, -60.947173 -4.499516, -60.947173 -4.841261, -61.463946 -4.841261))",151
"119","079090","AMAZÔNICA","POLYGON ((-61.490657 -5.826292, -61.490657 -5.485203, -60.972007 -5.485203, -60.972007 -5.826292, -61.490657 -5.826292))",152
"120","079091","AMAZÔNICA","POLYGON ((-61.51756 -6.809478, -61.51756 -6.468951, -60.997019 -6.468951, -60.997019 -6.809478, -61.51756 -6.809478))",153
"121","079092","AMAZÔNICA","POLYGON ((-61.544657 -7.791093, -61.544657 -7.451032, -61.022212 -7.451032, -61.022212 -7.791093, -61.544657 -7.791093))",154
"122","079093","AMAZÔNICA","POLYGON ((-61.571951 -8.771408, -61.571951 -8.43172, -61.047586 -8.43172, -61.047586 -8.771408, -61.571951 -8.771408))",155
"123","079094","AMAZÔNICA","POLYGON ((-61.599442 -9.750695, -61.599442 -9.411286, -61.073145 -9.411286, -61.073145 -9.750695, -61.599442 -9.750695))",156
"124","079095","AMAZÔNICA","POLYGON ((-61.627134 -10.729226, -61.627134 -10.390001, -61.09889 -10.390001, -61.09889 -10.729226, -61.627134 -10.729226))",157
"125","079096","AMAZÔNICA","POLYGON ((-61.655028 -11.707275, -61.655028 -11.368138, -61.124822 -11.368138, -61.124822 -11.707275, -61.655028 -11.707275))",158
"126","079097","AMAZÔNICA","POLYGON ((-61.683127 -12.685117, -61.683127 -12.345972, -61.150945 -12.345972, -61.150945 -12.685117, -61.683127 -12.685117))",159
"127","079098","AMAZÔNICA","POLYGON ((-61.711432 -13.663029, -61.711432 -13.323779, -61.17726 -13.323779, -61.17726 -13.663029, -61.711432 -13.663029))",160
"128","080079","AMAZÔNICA","POLYGON ((-59.733757 5.139244, -59.733757 5.490304, -59.236607 5.490304, -59.236607 5.139244, -59.733757 5.139244))",161
"129","080080","AMAZÔNICA","POLYGON ((-59.753572 4.120072, -59.753572 4.469449, -59.254685 4.469449, -59.254685 4.120072, -59.753572 4.120072))",162
"130","080081","AMAZÔNICA","POLYGON ((-59.773524 3.105681, -59.773524 3.453489, -59.272887 3.453489, -59.272887 3.105681, -59.773524 3.105681))",163
"131","080082","AMAZÔNICA","POLYGON ((-59.793615 2.095745, -59.793615 2.442095, -59.291216 2.442095, -59.291216 2.095745, -59.793615 2.095745))",164
"132","080083","AMAZÔNICA","POLYGON ((-59.813847 1.08995, -59.813847 1.434948, -59.309673 1.434948, -59.309673 1.08995, -59.813847 1.08995))",165
"133","080084","AMAZÔNICA","POLYGON ((-59.83422 0.087986, -59.83422 0.431739, -59.328259 0.431739, -59.328259 0.087986, -59.83422 0.087986))",166
"134","080085","AMAZÔNICA","POLYGON ((-59.854737 -0.910444, -59.854737 -0.567836, -59.346976 -0.567836, -59.346976 -0.910444, -59.854737 -0.910444))",167
"135","080086","AMAZÔNICA","POLYGON ((-59.875398 -1.905637, -59.875398 -1.564073, -59.365824 -1.564073, -59.365824 -1.905637, -59.875398 -1.905637))",7
"136","080087","AMAZÔNICA","POLYGON ((-59.896206 -2.89788, -59.896206 -2.557261, -59.384806 -2.557261, -59.384806 -2.89788, -59.896206 -2.89788))",168
"137","080088","AMAZÔNICA","POLYGON ((-59.917161 -3.887457, -59.917161 -3.547686, -59.403923 -3.547686, -59.403923 -3.887457, -59.917161 -3.887457))",169
"138","080089","AMAZÔNICA","POLYGON ((-59.938266 -4.874648, -59.938266 -4.535629, -59.423176 -4.535629, -59.423176 -4.874648, -59.938266 -4.874648))",170
"139","080090","AMAZÔNICA","POLYGON ((-59.959522 -5.85973, -59.959522 -5.521368, -59.442566 -5.521368, -59.442566 -5.85973, -59.959522 -5.85973))",171
"140","080091","AMAZÔNICA","POLYGON ((-59.980931 -6.842978, -59.980931 -6.505179, -59.462096 -6.505179, -59.462096 -6.842978, -59.980931 -6.842978))",172
"141","080092","AMAZÔNICA","POLYGON ((-60.002494 -7.824664, -60.002494 -7.487334, -59.481766 -7.487334, -59.481766 -7.824664, -60.002494 -7.824664))",173
"142","080093","AMAZÔNICA","POLYGON ((-60.024213 -8.80506, -60.024213 -8.468107, -59.501578 -8.468107, -59.501578 -8.80506, -60.024213 -8.80506))",174
"143","080094","AMAZÔNICA","POLYGON ((-60.04609 -9.784438, -60.04609 -9.447767, -59.521535 -9.447767, -59.521535 -9.784438, -60.04609 -9.784438))",175
"144","080095","AMAZÔNICA","POLYGON ((-60.068126 -10.763071, -60.068126 -10.426588, -59.541636 -10.426588, -59.541636 -10.763071, -60.068126 -10.763071))",176
"145","080096","AMAZÔNICA","POLYGON ((-60.090324 -11.741231, -60.090324 -11.404842, -59.561884 -11.404842, -59.561884 -11.741231, -60.090324 -11.741231))",177
